cidade,situacao,latitude,longitude,altitude,cdg_estacao,sg_estado
SALINAS,Operante,-16.160277770000000000000000000000,-42.310277770000000000000000000000,-42.310277770000000000000000000000,A552,MG
JOAO PINHEIRO,Operante,-17.784444440000000000000000000000,-46.119444430000000000000000000000,-46.119444430000000000000000000000,A553,MG
CARATINGA,Operante,-19.735833330000000000000000000000,-42.137222210000000000000000000000,-42.137222210000000000000000000000,A554,MG
IBIRITE (ROLA MOCA),Operante,-20.031388880000000000000000000000,-44.011111110000000000000000000000,-44.011111110000000000000000000000,A555,MG
MANHUACU,Operante,-20.263333330000000000000000000000,-42.182777770000000000000000000000,-42.182777770000000000000000000000,A556,MG
CORONEL PACHECO,Operante,-21.546666660000000000000000000000,-43.261111110000000000000000000000,-43.261111110000000000000000000000,A557,MG
JANUARIA,Operante,-15.448055550000000000000000000000,-44.366388880000000000000000000000,-44.366388880000000000000000000000,A559,MG
POMPEU,Operante,-19.232499990000000000000000000000,-44.964166660000000000000000000000,-44.964166660000000000000000000000,A560,MG
SAO SEBASTIAO DO PARAISO,Operante,-20.910000000000000000000000000000,-47.114166660000000000000000000000,-47.114166660000000000000000000000,A561,MG
PATOS DE MINAS,Operante,-18.520555540000000000000000000000,-46.440555550000000000000000000000,-46.440555550000000000000000000000,A562,MG
NOVA PORTEIRINHA (JANAUBA),Operante,-15.802777770000000000000000000000,-43.296944440000000000000000000000,-43.296944440000000000000000000000,A563,MG
DIVINOPOLIS,Operante,-20.173333320000000000000000000000,-44.874999990000000000000000000000,-44.874999990000000000000000000000,A564,MG
BAMBUI,Operante,-20.031111100000000000000000000000,-46.008888880000000000000000000000,-46.008888880000000000000000000000,A565,MG
ARACUAI,Operante,-16.848888880000000000000000000000,-42.035277770000000000000000000000,-42.035277770000000000000000000000,A566,MG
MACHADO,Operante,-21.680722000000000000000000000000,-45.944389000000000000000000000000,-45.944389000000000000000000000000,A567,MG
UBERABA,Operante,-19.710000000000000000000000000000,-47.961944440000000000000000000000,-47.961944440000000000000000000000,A568,MG
SETE LAGOAS,Operante,-19.455277770000000000000000000000,-44.173333320000000000000000000000,-44.173333320000000000000000000000,A569,MG
OLIVEIRA,Operante,-20.715000000000000000000000000000,-44.864444440000000000000000000000,-44.864444440000000000000000000000,A570,MG
PARACATU,Operante,-17.244444440000000000000000000000,-46.881666660000000000000000000000,-46.881666660000000000000000000000,A571,MG
