hr_medicao,cdg_stacao,vento_direcao
2019-01-14 00:00:00.000000,A001,125
2019-01-14 01:00:00.000000,A001,128
2019-01-14 02:00:00.000000,A001,107
2019-01-14 03:00:00.000000,A001,111
2019-01-14 04:00:00.000000,A001,48
2019-01-14 05:00:00.000000,A001,333
2019-01-14 06:00:00.000000,A001,320
2019-01-14 07:00:00.000000,A001,259
2019-01-14 08:00:00.000000,A001,26
2019-01-14 09:00:00.000000,A001,150
2019-01-14 10:00:00.000000,A001,153
2019-01-14 11:00:00.000000,A001,127
2019-01-14 12:00:00.000000,A001,94
2019-01-14 13:00:00.000000,A001,91
2019-01-14 14:00:00.000000,A001,53
2019-01-14 15:00:00.000000,A001,70
2019-01-14 16:00:00.000000,A001,70
2019-01-14 17:00:00.000000,A001,60
2019-01-14 18:00:00.000000,A001,91
2019-01-14 19:00:00.000000,A001,91
2019-01-14 20:00:00.000000,A001,93
2019-01-14 21:00:00.000000,A001,105
2019-01-14 22:00:00.000000,A001,117
2019-01-14 23:00:00.000000,A001,95
2019-01-15 00:00:00.000000,A001,86
2019-01-15 01:00:00.000000,A001,131
2019-01-15 02:00:00.000000,A001,126
2019-01-15 03:00:00.000000,A001,303
2019-01-15 04:00:00.000000,A001,119
2019-01-15 05:00:00.000000,A001,127
2019-01-15 06:00:00.000000,A001,8
2019-01-15 07:00:00.000000,A001,120
2019-01-15 08:00:00.000000,A001,142
2019-01-15 09:00:00.000000,A001,341
2019-01-15 10:00:00.000000,A001,358
2019-01-15 11:00:00.000000,A001,6
2019-01-15 12:00:00.000000,A001,59
